date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:21:35	933810/933810	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:25:26%20GMT	https://www.dejan.works/work/invision/img/Craft_Manager_Tools.png	F:/web/web/www.dejan.works/work/invision/img/Craft_Manager_Tools.png	(from https://www.dejan.works/work/invision/)
15:21:38	995766/995766	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:25:21%20GMT	https://www.dejan.works/work/invision/img/Craft_Manager_Plugins.png	F:/web/web/www.dejan.works/work/invision/img/Craft_Manager_Plugins.png	(from https://www.dejan.works/work/invision/)
15:21:38	208843/208843	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:25:33%20GMT	https://www.dejan.works/work/invision/img/Inspect_Interface.png	F:/web/web/www.dejan.works/work/invision/img/Inspect_Interface.png	(from https://www.dejan.works/work/invision/)
15:21:38	685333/685333	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:25:35%20GMT	https://www.dejan.works/work/invision/img/Inspect.png	F:/web/web/www.dejan.works/work/invision/img/Inspect.png	(from https://www.dejan.works/work/invision/)
15:21:39	299248/299248	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:25:35%20GMT	https://www.dejan.works/work/invision/img/Inspect_Layer_Selected.png	F:/web/web/www.dejan.works/work/invision/img/Inspect_Layer_Selected.png	(from https://www.dejan.works/work/invision/)
15:21:39	155511/155511	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:25:32%20GMT	https://www.dejan.works/work/invision/img/Inspect_Assets.png	F:/web/web/www.dejan.works/work/invision/img/Inspect_Assets.png	(from https://www.dejan.works/work/invision/)
15:21:41	449005/449005	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:25:36%20GMT	https://www.dejan.works/work/invision/img/Inspect_DSM.png	F:/web/web/www.dejan.works/work/invision/img/Inspect_DSM.png	(from https://www.dejan.works/work/invision/)
15:21:43	124382/124382	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:24:15%20GMT	https://www.dejan.works/work/achievo/img/Achievo_Finding_ideas.png	F:/web/web/www.dejan.works/work/achievo/img/Achievo_Finding_ideas.png	(from https://www.dejan.works/work/achievo/)
15:21:43	369820/369820	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:25:39%20GMT	https://www.dejan.works/work/invision/video/Inspect_video_cover.png	F:/web/web/www.dejan.works/work/invision/video/Inspect_video_cover.png	(from https://www.dejan.works/work/invision/)
15:21:44	35518/35518	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:24:15%20GMT	https://www.dejan.works/work/achievo/img/Achievo_Goals_Study.png	F:/web/web/www.dejan.works/work/achievo/img/Achievo_Goals_Study.png	(from https://www.dejan.works/work/achievo/)
15:21:46	474143/474143	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:24:17%20GMT	https://www.dejan.works/work/achievo/img/Achievo_Ideas_Validation.png	F:/web/web/www.dejan.works/work/achievo/img/Achievo_Ideas_Validation.png	(from https://www.dejan.works/work/achievo/)
15:21:48	1831854/1831854	---M--	200	added ('OK')	video/mp4	date:Thu,%2027%20Aug%202020%2014:25:42%20GMT	https://www.dejan.works/work/invision/video/Inspect_video.mp4	F:/web/web/www.dejan.works/work/invision/video/Inspect_video.mp4	(from https://www.dejan.works/work/invision/)
15:21:50	91925/91925	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:24:19%20GMT	https://www.dejan.works/work/achievo/img/Achievo_User_Stories.png	F:/web/web/www.dejan.works/work/achievo/img/Achievo_User_Stories.png	(from https://www.dejan.works/work/achievo/)
15:21:50	1501228/1501228	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:24:31%20GMT	https://www.dejan.works/work/achievo/img/Achievo.png	F:/web/web/www.dejan.works/work/achievo/img/Achievo.png	(from https://www.dejan.works/work/achievo/)
15:21:51	131934/131934	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:24:18%20GMT	https://www.dejan.works/work/achievo/img/Achievo_Personas.png	F:/web/web/www.dejan.works/work/achievo/img/Achievo_Personas.png	(from https://www.dejan.works/work/achievo/)
15:21:52	68101/68101	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:24:15%20GMT	https://www.dejan.works/work/achievo/img/Achievo_Flow.png	F:/web/web/www.dejan.works/work/achievo/img/Achievo_Flow.png	(from https://www.dejan.works/work/achievo/)
15:21:52	106939/106939	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:24:14%20GMT	https://www.dejan.works/work/achievo/img/Achievo_Create_Goal.png	F:/web/web/www.dejan.works/work/achievo/img/Achievo_Create_Goal.png	(from https://www.dejan.works/work/achievo/)
15:21:56	437664/437664	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:24:22%20GMT	https://www.dejan.works/work/achievo/img/Achievo_Wireframes.png	F:/web/web/www.dejan.works/work/achievo/img/Achievo_Wireframes.png	(from https://www.dejan.works/work/achievo/)
15:21:57	72269/72269	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:24:14%20GMT	https://www.dejan.works/work/achievo/img/Achievo_Case_Study.png	F:/web/web/www.dejan.works/work/achievo/img/Achievo_Case_Study.png	(from https://www.dejan.works/work/achievo/)
15:21:57	1794431/1794431	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:24:38%20GMT	https://www.dejan.works/work/achievo/img/Achievo_Landing_Website.png	F:/web/web/www.dejan.works/work/achievo/img/Achievo_Landing_Website.png	(from https://www.dejan.works/work/achievo/)
15:21:57	895828/895828	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:24:26%20GMT	https://www.dejan.works/work/achievo/img/Achievo_Wireframes2.png	F:/web/web/www.dejan.works/work/achievo/img/Achievo_Wireframes2.png	(from https://www.dejan.works/work/achievo/)
15:21:59	76572/76572	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:24:16%20GMT	https://www.dejan.works/work/achievo/img/Achievo_Landing.png	F:/web/web/www.dejan.works/work/achievo/img/Achievo_Landing.png	(from https://www.dejan.works/work/achievo/)
15:21:59	32086/32086	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:24:18%20GMT	https://www.dejan.works/work/achievo/img/Achievo_Sign_Up.png	F:/web/web/www.dejan.works/work/achievo/img/Achievo_Sign_Up.png	(from https://www.dejan.works/work/achievo/)
15:22:00	32118/32118	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2014:24:16%20GMT	https://www.dejan.works/work/achievo/img/Achievo_Intro.png	F:/web/web/www.dejan.works/work/achievo/img/Achievo_Intro.png	(from https://www.dejan.works/work/achievo/)
